model,model_2,brand,product,product_parent,product_lang,file_urls,type,url,thumb,source
ID-36C,,Sub-Zero,"36"" Designer Refrigerator/Freezer Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/36-inch-refrigerator-freezer-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-36c/dynamic_id-36c.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
ID-30CI,,Sub-Zero,"30"" Designer Refrigerator/Freezer Drawers with Ice Maker - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/30-inch-refrigerator-freezer-drawers-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-30ci/dynamic_id-30ci.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
UC-15IP,,Sub-Zero,"15"" Ice Maker with Pump - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/uc-15i-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/15-inch-ice-maker-with-pump-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/uc-15ip/uc-15ip.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
ID-24F,,Sub-Zero,"24"" Designer Freezer Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-freezer-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-24f/dynamic_id-24f.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
ID-30R,,Sub-Zero,"30"" Designer Refrigerator Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/30-inch-refrigerator-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-30r/dynamic_id-30r.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
ID-36R,,Sub-Zero,"36"" Designer Refrigerator Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/36-inch-refrigerator-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-36r/dynamic_id-36r.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
UC-15I,,Sub-Zero,"15"" Ice Maker - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/uc-15i-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/15-inch-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/uc-15i/uc-15i.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU1550BG,,Sub-Zero,"15"" Designer Undercounter Beverage Center - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deundercounter_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/15-designer-undercounter-beverage-center-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu1550bg/deu1550bg.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
UC-15IO,,Sub-Zero,"15"" Outdoor Ice Maker - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/uc-15i-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/15-inch-outdoor-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/uc-15io/uc-15io.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
UC-15IPO,,Sub-Zero,"15"" Outdoor Ice Maker with Pump - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/uc-15i-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/15-inch-outdoor-ice-maker-with-pump-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/uc-15io/uc-15io.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU2450RO,,Sub-Zero,"24"" Outdoor Undercounter Refrigerator – Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deundercounter_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-outdoor-undercounter-refrigerator-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu2450ro/deu2450ro.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU2450W,,Sub-Zero,"24"" Designer Undercounter Wine Storage - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deuwine_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/wine-cooler/24-inch-built-in-wine-storage-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu2450w/deu2450w.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU2450R/ADA,,Sub-Zero,"24"" Designer Undercounter ADA Height Refrigerator - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deundercounter_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-undercounter-ada-height-refrigerator-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu2450r-ada/deu2450r-a.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU2450W/ADA,,Sub-Zero,"24"" Designer Undercounter ADA Height Wine Storage - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deuwine_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/wine-cooler/24-designer-undercounter-ada-height-wine-storage-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu2450w-ada/deu2450w-a.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU2450BG,,Sub-Zero,"24"" Designer Undercounter Beverage Center - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deundercounter_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-undercounter-beverage-center-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu2450bg/deu2450bg.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
ID-24RO,,Sub-Zero,"24"" Designer Outdoor Refrigerator Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-outdoor-refrigerator-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/id-24ro/id-24ro.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
DEU2450CI,,Sub-Zero,"24"" Designer Undercounter Refrigerator/Freezer with Ice Maker – Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/deundercounter_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-undercounter-refrigerator-freezer-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/deu2450ci/deu2450ci.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire"
